                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91155,                 1.7361,                 1.3263,                0.56394,                0.65114,                0.65087,                0.45016,                0.95039,                 1.3314,                 1.4819,             0.00041657,             0.00041657,             0.00041657
                      1,                0.96823,                 1.5831,                  1.362,                0.57897,                0.55292,                 0.5932,                0.42836,                0.90156,                 1.4329,                 1.4404,             0.00081674,             0.00081674,             0.00081674
                      2,                0.92779,                  1.506,                 1.3358,                0.63119,                 0.6241,                0.66501,                0.51619,                0.76637,                 1.2602,                 1.3372,              0.0012004,              0.0012004,              0.0012004
                      3,                0.87899,                 1.3919,                 1.3002,                0.69432,                0.66958,                0.73616,                0.58771,                0.73601,                 1.0828,                  1.297,              0.0011757,              0.0011757,              0.0011757
                      4,                0.83512,                 1.2978,                 1.2689,                0.67231,                0.63548,                0.67804,                0.53957,                0.74762,                 1.0908,                 1.2818,              0.0011757,              0.0011757,              0.0011757
                      5,                0.79839,                 1.2285,                 1.2428,                0.71931,                0.69553,                0.77924,                0.64467,                0.65057,                0.98328,                 1.1979,               0.001151,               0.001151,               0.001151
                      6,                0.77796,                  1.157,                 1.2243,                0.78554,                0.72329,                0.80569,                0.66555,                0.63262,                0.90677,                 1.1931,              0.0011263,              0.0011263,              0.0011263
                      7,                0.75374,                 1.1192,                 1.2112,                0.76521,                0.69881,                0.81137,                0.67108,                0.64759,                0.93633,                 1.2155,              0.0011015,              0.0011015,              0.0011015
                      8,                0.73304,                 1.0548,                 1.2003,                0.81277,                0.79014,                0.87867,                0.74331,                0.57603,                0.77074,                 1.1284,              0.0010768,              0.0010768,              0.0010768
                      9,                0.71663,                 1.0254,                 1.1869,                0.77438,                0.78178,                0.84059,                0.71637,                0.56632,                0.75826,                 1.1216,               0.001052,               0.001052,               0.001052
                     10,                0.70867,                 1.0029,                 1.1837,                0.76326,                0.77503,                0.83282,                0.70378,                0.58988,                0.84269,                 1.1438,              0.0010273,              0.0010273,              0.0010273
                     11,                0.68657,                0.94544,                 1.1667,                0.77416,                0.73414,                0.81762,                0.69728,                0.56224,                0.82736,                 1.1146,              0.0010025,              0.0010025,              0.0010025
                     12,                0.67883,                 0.9285,                 1.1607,                0.81934,                 0.8081,                0.85918,                0.73263,                0.53963,                0.72763,                 1.0946,             0.00097775,             0.00097775,             0.00097775
                     13,                0.65733,                   0.92,                 1.1478,                0.83802,                0.82992,                0.89701,                0.77975,                0.51862,                0.65833,                 1.0642,               0.000953,               0.000953,               0.000953
                     14,                0.64849,                0.85817,                 1.1403,                0.85023,                0.83086,                0.89695,                0.78315,                0.50096,                 0.6234,                 1.0513,             0.00092825,             0.00092825,             0.00092825
                     15,                 0.6462,                0.84663,                 1.1376,                 0.8549,                0.80543,                 0.8949,                0.78377,                0.50222,                0.67839,                 1.0588,              0.0009035,              0.0009035,              0.0009035
                     16,                0.64659,                0.84504,                 1.1399,                 0.8376,                0.84502,                0.90011,                0.80258,                0.48473,                0.61519,                 1.0492,             0.00087875,             0.00087875,             0.00087875
                     17,                0.62988,                0.81741,                 1.1281,                0.88151,                0.83086,                0.91039,                0.81895,                0.47048,                0.59688,                 1.0241,               0.000854,               0.000854,               0.000854
                     18,                 0.6273,                0.81484,                 1.1305,                0.88807,                0.84113,                0.92517,                0.83123,                0.46455,                0.54623,                 1.0183,             0.00082925,             0.00082925,             0.00082925
                     19,                0.62109,                0.79141,                  1.126,                0.86192,                 0.8449,                  0.911,                 0.8124,                 0.4518,                0.57556,                 1.0086,              0.0008045,              0.0008045,              0.0008045
                     20,                0.61533,                0.78003,                 1.1207,                0.85503,                0.82193,                0.89302,                0.79058,                0.48334,                0.63813,                 1.0402,             0.00077975,             0.00077975,             0.00077975
                     21,                0.60933,                0.77877,                 1.1205,                0.86914,                0.88585,                0.92547,                0.82528,                0.47202,                0.52826,                 1.0351,               0.000755,               0.000755,               0.000755
                     22,                0.60042,                0.74635,                 1.1119,                0.86313,                0.81516,                0.90297,                0.81174,                0.45648,                0.59701,                 1.0128,             0.00073025,             0.00073025,             0.00073025
                     23,                0.59276,                0.73703,                 1.1083,                0.88969,                 0.8612,                0.92787,                0.82978,                0.44732,                0.52808,                0.99515,              0.0007055,              0.0007055,              0.0007055
                     24,                0.58471,                0.70778,                 1.0989,                0.88409,                0.86698,                0.91914,                0.82569,                0.45203,                0.52494,                 1.0016,             0.00068075,             0.00068075,             0.00068075
                     25,                0.58327,                0.69369,                 1.1001,                0.87205,                0.85287,                0.90503,                0.82174,                0.42198,                0.57353,                0.97162,               0.000656,               0.000656,               0.000656
                     26,                0.58216,                0.68058,                 1.1015,                0.89679,                0.88647,                0.93763,                0.84305,                0.44277,                0.50647,                0.99728,             0.00063125,             0.00063125,             0.00063125
                     27,                0.57491,                0.68499,                 1.0987,                0.89158,                0.84987,                0.93026,                0.84276,                0.41677,                0.51706,                0.97439,              0.0006065,              0.0006065,              0.0006065
                     28,                0.56693,                0.66129,                 1.0883,                0.88133,                0.86761,                0.92334,                0.83366,                0.42351,                 0.5337,                0.97934,             0.00058175,             0.00058175,             0.00058175
                     29,                0.56625,                0.65683,                 1.0915,                0.89679,                 0.8559,                0.90953,                 0.8216,                0.43058,                0.53574,                0.98609,               0.000557,               0.000557,               0.000557
                     30,                0.55391,                0.64243,                 1.0852,                0.92878,                0.87052,                0.94274,                0.86854,                0.39938,                0.46522,                0.96345,             0.00053225,             0.00053225,             0.00053225
                     31,                0.56014,                0.63305,                 1.0873,                0.90691,                0.89106,                0.94648,                0.86959,                0.39315,                0.44661,                0.95534,              0.0005075,              0.0005075,              0.0005075
                     32,                0.54919,                0.61024,                 1.0774,                0.89413,                0.89706,                0.94475,                0.85913,                0.40509,                0.46959,                0.97424,             0.00048275,             0.00048275,             0.00048275
                     33,                0.54398,                0.60461,                 1.0747,                0.89569,                 0.8694,                0.92585,                0.84998,                0.39518,                0.48477,                0.95351,               0.000458,               0.000458,               0.000458
                     34,                0.52706,                0.58631,                 1.0637,                 0.9042,                0.86931,                0.93316,                0.85504,                0.39803,                 0.4772,                0.95787,             0.00043325,             0.00043325,             0.00043325
                     35,                0.53281,                0.58905,                 1.0699,                0.90366,                0.88955,                0.93444,                0.86466,                0.38237,                0.47274,                0.94101,              0.0004085,              0.0004085,              0.0004085
                     36,                 0.5328,                0.58471,                 1.0668,                0.90238,                0.90694,                0.94505,                 0.8739,                0.38631,                0.43326,                0.94352,             0.00038375,             0.00038375,             0.00038375
                     37,                0.52007,                0.57035,                 1.0606,                0.89414,                0.90252,                0.94554,                0.87232,                0.37771,                0.44243,                 0.9396,               0.000359,               0.000359,               0.000359
                     38,                0.52231,                0.55125,                 1.0602,                0.90704,                0.88008,                0.93423,                0.85944,                0.38289,                 0.4678,                0.94919,             0.00033425,             0.00033425,             0.00033425
                     39,                0.52721,                0.54189,                 1.0628,                0.89224,                0.88636,                 0.9291,                0.85506,                0.38241,                 0.4712,                0.94893,              0.0003095,              0.0003095,              0.0003095
                     40,                0.51319,                0.53596,                 1.0561,                0.91998,                0.86729,                0.93166,                0.86351,                0.37061,                0.45554,                0.93478,             0.00028475,             0.00028475,             0.00028475
                     41,                0.50252,                0.51976,                 1.0487,                0.92735,                0.88414,                0.94639,                0.88206,                0.35967,                0.40679,                0.92736,                0.00026,                0.00026,                0.00026
                     42,                0.50066,                0.50899,                 1.0457,                0.91803,                0.87567,                0.93632,                0.86648,                 0.3714,                0.44208,                0.93513,             0.00023525,             0.00023525,             0.00023525
                     43,                0.49931,                0.51642,                 1.0431,                0.91729,                0.88214,                0.94112,                0.87456,                0.37009,                  0.432,                0.93688,              0.0002105,              0.0002105,              0.0002105
                     44,                0.49393,                0.49251,                  1.042,                0.91661,                0.88028,                0.93206,                0.86777,                0.36083,                0.43893,                0.92185,             0.00018575,             0.00018575,             0.00018575
                     45,                0.49049,                0.48941,                 1.0427,                0.90603,                0.87836,                0.92829,                0.86126,                0.36331,                0.45863,                 0.9277,               0.000161,               0.000161,               0.000161
                     46,                0.47975,                 0.4744,                 1.0355,                0.91164,                0.86529,                0.92605,                0.86274,                 0.3616,                0.46116,                0.92668,             0.00013625,             0.00013625,             0.00013625
